# Temperature	frequency	data
4.139999999999999858e+01	1.258900000000000006e+02	1.038269728865021807e-03
4.139999999999999858e+01	1.000000000000000000e+02	1.011601155530273549e-03
4.139999999999999858e+01	7.943300000000000693e+01	9.860617523143079544e-04
4.139999999999999858e+01	6.309599999999999653e+01	9.475567151695889201e-04
4.139999999999999858e+01	5.011899999999999977e+01	9.252025908372818463e-04
4.139999999999999858e+01	3.981099999999999994e+01	8.743863302150302330e-04
4.139999999999999858e+01	3.162300000000000111e+01	8.187108642397945835e-04
4.139999999999999858e+01	2.511899999999999977e+01	7.429487830994292719e-04
4.139999999999999858e+01	1.995299999999999940e+01	7.272060386224014905e-04
4.139999999999999858e+01	1.584900000000000020e+01	6.709067863847617552e-04
4.139999999999999858e+01	1.258900000000000041e+01	6.718834854168888315e-04
4.139999999999999858e+01	1.000000000000000000e+01	6.566490285580470210e-04
4.139999999999999858e+01	7.943299999999999805e+00	6.410726288048410049e-04
4.139999999999999858e+01	6.309599999999999653e+00	6.128395697961273869e-04
4.139999999999999858e+01	5.011899999999999800e+00	5.773477378195265852e-04
4.139999999999999858e+01	3.981100000000000083e+00	6.056352437328986482e-04
4.139999999999999858e+01	3.162300000000000111e+00	6.108336516995084564e-04
4.139999999999999858e+01	2.511899999999999800e+00	6.246986859556880045e-04
4.139999999999999858e+01	1.995300000000000074e+00	6.643207837912744329e-04
4.139999999999999858e+01	1.584899999999999975e+00	7.097693824863055001e-04
4.139999999999999858e+01	1.258899999999999908e+00	7.745341917503416329e-04
4.139999999999999858e+01	1.000000000000000000e+00	8.654840291336916847e-04
4.139999999999999858e+01	7.943299999999999805e-01	8.846356234291606613e-04
4.139999999999999858e+01	6.309599999999999653e-01	1.032075157622606293e-03
4.139999999999999858e+01	5.011900000000000244e-01	1.203549049061398979e-03
4.139999999999999858e+01	3.981100000000000194e-01	1.345146356360332057e-03
4.139999999999999858e+01	3.162300000000000111e-01	1.576184363864429477e-03
4.139999999999999858e+01	2.511900000000000244e-01	1.796594085437801247e-03
4.139999999999999858e+01	1.995300000000000129e-01	2.149835038137652005e-03
4.139999999999999858e+01	1.584899999999999920e-01	2.525102527805866276e-03
4.139999999999999858e+01	1.258900000000000019e-01	3.010740396061188651e-03
4.139999999999999858e+01	1.000000000000000056e-01	3.449020917520289470e-03
4.760000000000000142e+01	1.000000000000000000e+03	-2.208666589108530809e-04
4.760000000000000142e+01	7.943300000000000409e+02	8.884271084515227290e-05
